,MethylKitDML_q0.05,MethylKitDML_q0.05_diff25,MethylSigDML_q0.05,DSSDML_fdr0.05,DiffMethylToolsDML_q0.05,DLModelDML_0.40,DLModelDML_0.35,Total
MethylKitDML_q0.05,,641517.0,1252713.0,635076.0,381129.0,62599.0,103453.0,2030492
MethylKitDML_q0.05_diff25,641517.0,,593928.0,549522.0,381129.0,60110.0,97740.0,641517
MethylSigDML_q0.05,1252713.0,593928.0,,633804.0,380679.0,61020.0,99986.0,1252713
DSSDML_fdr0.05,635076.0,549522.0,633804.0,,380704.0,59191.0,95868.0,641018
DiffMethylToolsDML_q0.05,381129.0,381129.0,380679.0,380704.0,,54302.0,86124.0,381223
DLModelDML_0.40,62599.0,60110.0,61020.0,59191.0,54302.0,,63630.0,63630
DLModelDML_0.35,103453.0,97740.0,99986.0,95868.0,86124.0,63630.0,,106419
