,MethylKit_q0.01,MethylKit_HighDiff,MethylSig,DSS,diffMethylTools,bsseq,dl_dmr_040,dl_dmr_035,Total_BP
MethylKit_q0.01,,21545500.0,137618500.0,11562379.0,17463566.0,12195223.0,3711432.0,6223265.0,377368000
MethylKit_HighDiff,21545500.0,,19553500.0,7512662.0,10791070.0,9468583.0,3433677.0,5423139.0,21545500
MethylSig,137618500.0,19553500.0,,14129299.0,20769477.0,13312694.0,4336042.0,7176745.0,261699000
DSS,11562379.0,7512662.0,14129299.0,,11061128.0,6409837.0,2850697.0,4295224.0,14851803
diffMethylTools,17463566.0,10791070.0,20769477.0,11061128.0,,8926566.0,3984349.0,6303871.0,21605286
bsseq,12195223.0,9468583.0,13312694.0,6409837.0,8926566.0,,2522129.0,4074971.0,14438206
dl_dmr_040,3711432.0,3433677.0,4336042.0,2850697.0,3984349.0,2522129.0,,4320953.0,4391654
dl_dmr_035,6223265.0,5423139.0,7176745.0,4295224.0,6303871.0,4074971.0,4320953.0,,7325245
