,MethylKitDML_q0.05_InDMR,MethylKitDML_q0.05_diff25_InDMR,MethylSigDML_q0.05_InDMR,DSSDML_fdr0.05_InDMR,DiffMethylToolsDML_q0.05_InDMR,DLModelDML_0.40_InDMR,DLModelDML_0.35_InDMR,Total
MethylKitDML_q0.05_InDMR,,191145.0,578403.0,268208.0,236900.0,57894.0,93062.0,1075520
MethylKitDML_q0.05_diff25_InDMR,191145.0,,182933.0,162050.0,151757.0,53603.0,81359.0,191145
MethylSigDML_q0.05_InDMR,578403.0,182933.0,,283955.0,258182.0,59139.0,93991.0,749820
DSSDML_fdr0.05_InDMR,268208.0,162050.0,283955.0,,214445.0,54297.0,83513.0,299032
DiffMethylToolsDML_q0.05_InDMR,236900.0,151757.0,258182.0,214445.0,,52666.0,81056.0,268832
DLModelDML_0.40_InDMR,57894.0,53603.0,59139.0,54297.0,52666.0,,61175.0,62085
DLModelDML_0.35_InDMR,93062.0,81359.0,93991.0,83513.0,81056.0,61175.0,,100746
