,MethylKitDML_q0.05_NoIsol,MethylKitDML_q0.05_diff25_NoIsol,MethylSigDML_q0.05_NoIsol,DSSDML_fdr0.05_NoIsol,DiffMethylToolsDML_q0.05_NoIsol,DLModelDML_0.40_NoIsol,DLModelDML_0.35_NoIsol,Total
MethylKitDML_q0.05_NoIsol,,640854.0,1251824.0,634677.0,380986.0,62597.0,103450.0,2028707
MethylKitDML_q0.05_diff25_NoIsol,640854.0,,593462.0,549150.0,380986.0,60108.0,97737.0,640854
MethylSigDML_q0.05_NoIsol,1251824.0,593462.0,,633421.0,380541.0,61018.0,99983.0,1251824
DSSDML_fdr0.05_NoIsol,634677.0,549150.0,633421.0,,380572.0,59189.0,95865.0,638607
DiffMethylToolsDML_q0.05_NoIsol,380986.0,380986.0,380541.0,380572.0,,54300.0,86121.0,381077
DLModelDML_0.40_NoIsol,62597.0,60108.0,61018.0,59189.0,54300.0,,63621.0,63621
DLModelDML_0.35_NoIsol,103450.0,97737.0,99983.0,95865.0,86121.0,63621.0,,106404
